time,task,seed,timesteps,reward,cpu_percent,mem_percent,load1,load5,load15,mem_available_mb,mem_total_mb,swap_used_mb,swap_total_mb,swap_percent
1787116046.4326713,balance,seed00,4005888.0,-18.8337,99.2,59.9,13.18408203125,13.533203125,13.4443359375,6296.33203125,15696.51171875,0.0,4095.99609375,0.0
1787116046.4326713,full_chain,seed00,5905888.0,-9.4164,99.2,59.9,13.18408203125,13.533203125,13.4443359375,6296.33203125,15696.51171875,0.0,4095.99609375,0.0
1787116046.4326713,traverse_curve,seed00,3664368.0,-9.1318,99.2,59.9,13.18408203125,13.533203125,13.4443359375,6296.33203125,15696.51171875,0.0,4095.99609375,0.0
1787116046.4326713,traverse_flat_slope,seed00,3518048.0,6.3816,99.2,59.9,13.18408203125,13.533203125,13.4443359375,6296.33203125,15696.51171875,0.0,4095.99609375,0.0
1787116046.4326713,traverse_slope,seed00,2894608.0,-6.9339,99.2,59.9,13.18408203125,13.533203125,13.4443359375,6296.33203125,15696.51171875,0.0,4095.99609375,0.0
1787116076.7645092,balance,seed00,4005888.0,-18.8337,99.6,59.3,12.63037109375,13.35595703125,13.38720703125,6395.07421875,15696.51171875,0.0,4095.99609375,0.0
1787116076.7645092,full_chain,seed00,5905888.0,-9.4164,99.6,59.3,12.63037109375,13.35595703125,13.38720703125,6395.07421875,15696.51171875,0.0,4095.99609375,0.0
1787116076.7645092,traverse_curve,seed00,3672560.0,-9.1318,99.6,59.3,12.63037109375,13.35595703125,13.38720703125,6395.07421875,15696.51171875,0.0,4095.99609375,0.0
1787116076.7645092,traverse_flat_slope,seed00,3518048.0,6.3816,99.6,59.3,12.63037109375,13.35595703125,13.38720703125,6395.07421875,15696.51171875,0.0,4095.99609375,0.0
1787116076.7645092,traverse_slope,seed00,2894608.0,-6.4386,99.6,59.3,12.63037109375,13.35595703125,13.38720703125,6395.07421875,15696.51171875,0.0,4095.99609375,0.0
1787116111.4530134,balance,seed00,4005888.0,-18.8337,99.6,59.5,13.14990234375,13.41015625,13.40380859375,6353.7890625,15696.51171875,0.0,4095.99609375,0.0
1787116111.4530134,full_chain,seed00,5905888.0,-9.4164,99.6,59.5,13.14990234375,13.41015625,13.40380859375,6353.7890625,15696.51171875,0.0,4095.99609375,0.0
1787116111.4530134,traverse_curve,seed00,3688944.0,-9.1318,99.6,59.5,13.14990234375,13.41015625,13.40380859375,6353.7890625,15696.51171875,0.0,4095.99609375,0.0
1787116111.4530134,traverse_flat_slope,seed00,3534432.0,6.3816,99.6,59.5,13.14990234375,13.41015625,13.40380859375,6353.7890625,15696.51171875,0.0,4095.99609375,0.0
1787116111.4530134,traverse_slope,seed00,2902800.0,-6.4386,99.6,59.5,13.14990234375,13.41015625,13.40380859375,6353.7890625,15696.51171875,0.0,4095.99609375,0.0
1787116143.315866,balance,seed00,4005888.0,-18.8337,97.9,59.1,13.4892578125,13.466796875,13.4228515625,6418.1953125,15696.51171875,0.0,4095.99609375,0.0
1787116143.315866,full_chain,seed00,5905888.0,-9.4164,97.9,59.1,13.4892578125,13.466796875,13.4228515625,6418.1953125,15696.51171875,0.0,4095.99609375,0.0
1787116143.315866,traverse_curve,seed00,3697136.0,-9.1318,97.9,59.1,13.4892578125,13.466796875,13.4228515625,6418.1953125,15696.51171875,0.0,4095.99609375,0.0
1787116143.315866,traverse_flat_slope,seed00,3534432.0,6.3816,97.9,59.1,13.4892578125,13.466796875,13.4228515625,6418.1953125,15696.51171875,0.0,4095.99609375,0.0
1787116143.315866,traverse_slope,seed00,2910992.0,-6.4386,97.9,59.1,13.4892578125,13.466796875,13.4228515625,6418.1953125,15696.51171875,0.0,4095.99609375,0.0
1787116177.394615,balance,seed00,4005888.0,-18.8337,97.1,59.1,13.54296875,13.4794921875,13.42822265625,6420.375,15696.51171875,0.0,4095.99609375,0.0
1787116177.394615,full_chain,seed00,5905888.0,-9.4164,97.1,59.1,13.54296875,13.4794921875,13.42822265625,6420.375,15696.51171875,0.0,4095.99609375,0.0
1787116177.394615,traverse_curve,seed00,3705328.0,-4.4142,97.1,59.1,13.54296875,13.4794921875,13.42822265625,6420.375,15696.51171875,0.0,4095.99609375,0.0
1787116177.394615,traverse_flat_slope,seed00,3542624.0,6.3816,97.1,59.1,13.54296875,13.4794921875,13.42822265625,6420.375,15696.51171875,0.0,4095.99609375,0.0
1787116177.394615,traverse_slope,seed00,2919184.0,-6.4386,97.1,59.1,13.54296875,13.4794921875,13.42822265625,6420.375,15696.51171875,0.0,4095.99609375,0.0
1787116207.6017392,balance,seed00,4005888.0,-18.8337,100.0,58.9,13.08447265625,13.37060546875,13.39306640625,6457.0390625,15696.51171875,0.0,4095.99609375,0.0
1787116207.6017392,full_chain,seed00,5905888.0,-9.4164,100.0,58.9,13.08447265625,13.37060546875,13.39306640625,6457.0390625,15696.51171875,0.0,4095.99609375,0.0
1787116207.6017392,traverse_curve,seed00,3721712.0,-4.4142,100.0,58.9,13.08447265625,13.37060546875,13.39306640625,6457.0390625,15696.51171875,0.0,4095.99609375,0.0
1787116207.6017392,traverse_flat_slope,seed00,3542624.0,6.3816,100.0,58.9,13.08447265625,13.37060546875,13.39306640625,6457.0390625,15696.51171875,0.0,4095.99609375,0.0
