task,seed,approx_kl_last,cpu_percent_max,current_stall_minutes,early_low_reward,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,kl_divergent,kl_divergent_streak,max_dev_max,mem_percent_max,min_clear_min,nan_count,neg_ratio_current,progress_ratio,report_rows,restart_count,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source
traverse_curve_high_level_bplus_no_goal,seed00,0.0078,,,0.0,0.0,0.015,279.9496,500000.0,0.4,0.0,284.2197,10.0,11.0704,0.0,0.0,,0.0,0.0,0.0134,,,0.0,0.4,,1.0,,0.985,,,1.1029,1.0,,,,0.0,0.0,True,pass,1.0,,auto
traverse_curve_junction,j1,0.0073,,,0.0,0.0,0.002,49.3892,250000.0,0.0,0.0,49.4857,5.0,-0.2396,242.6,,,0.0,0.0,,,,,0.0,,,,0.998,,,0.9002,,,,,0.0,,True,pass,1.0,,auto
traverse_curve_junction,j2,0.0162,,,,0.0,0.0,-24.0975,1050000.0,1.0,1.0,-18.4937,10.0,-26.315,145.08,,,0.0,0.0,,,,,1.0,,,,,,,0.6001,,,,,0.0,,True,pass,1.0,,auto
traverse_curve_junction,j3,0.0155,,,,0.0,0.0085,140.2989,1807904.0,0.0,0.0,141.4965,5.0,-1.4132,698.52,,,0.0,0.0,,,,,0.0,,,,0.9915,,,0.6167,,,,,0.0,,True,pass,1.0,,auto
traverse_curve_multi_segment,m1,0.0173,,,0.0,0.0,0.036,141.9247,250000.0,0.0,0.0,147.2185,5.0,-26.0606,638.8,,,0.0,0.0,,,,,0.0,,,,0.964,,,0.8219,,,,,0.0,,True,pass,1.0,,auto
traverse_curve_multi_segment,m2,0.0147,,,,0.0,0.051,92.9166,750000.0,0.0,0.0,97.9144,5.0,-19.7842,906.2,,,0.0,0.0,,,,,0.0,,,,0.949,,,0.716,,,,,0.0,,True,pass,1.0,,auto
traverse_curve_multi_segment,m3,0.0546,,,,0.0,0.0271,239.2166,1500000.0,0.0,0.0,245.8719,5.0,-24.4722,1520.2,,,0.0,0.0,,,,,0.0,,,,0.9729,,,0.5142,,,,,0.0,,True,pass,1.0,,auto
traverse_curve_v1,seed00,0.5671,,,1.0,0.0,1.0,-0.1642,4000000.0,0.375,0.8,12.6381,80.0,5.7508,0.0,,,0.0,0.0,,,,,0.375,,,,-0.013,,,0.0919,,,,,0.0,,True,fail,0.0,,manual_curve
traverse_curve_v2,seed00,0.5671,,,1.0,0.0,0.0067,133.547,4000000.0,0.1875,0.0,134.454,80.0,3.4894,0.2801,0.0,,0.0,0.0,0.0398,,,0.0,0.1875,,1.0,,0.9933,,,0.0919,1.0,,,,0.0,0.0,True,fail,0.0,,manual_cheating_exposed
traverse_curve_v3,seed00,0.3303,,,1.0,0.0,1.0,-4.0148,4000000.0,0.3875,1.0,9.3944,80.0,-7.6714,1.1169,1.0,,0.0,0.0,0.4024,,,0.0,0.3875,,1.0,,-0.4274,,,0.1069,0.0,,,,0.0,1.0,True,fail,0.0,,auto
traverse_flat_slope,seed00,0.243,100.0,23656.4,1.0,0.0,0.8067,7.334,4000000.0,0.0909,0.0,37.9506,66.0,-39.4656,2.8937,1.0,5721.4,0.0,0.0,0.5647,67.1,,0.0,0.0909,1.0,1.0,0.0,0.1933,5000.0,23656.4,0.1019,0.0,17.8,23846.8,2482176.0,0.0,1.0,True,fail,0.0,1430809.2019946575,formal_eval
traverse_flat_slope,seed01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,auto
traverse_flat_slope,seed02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,auto
traverse_flat_slope_v1,seed00,0.3456,,,0.0,0.0,0.9197,3.3709,4000000.0,0.075,0.0,41.9885,80.0,-24.8416,3.5614,,,0.0,0.0,,,,,0.075,,,,0.0803,,,0.0975,,,,,0.0,,True,fail,0.0,,manual_curve
traverse_slope,seed00,0.4684,100.0,23514.7,1.0,0.0,0.6656,8.1236,8000000.0,0.5442,0.2,24.2945,147.0,33.751,3.4723,1.0,5721.4,0.0,0.0,0.4008,67.1,,0.0,0.5442,2.0,1.0,0.0,0.3344,5000.0,23514.7,0.0843,0.0,17.8,23846.8,6447104.0,0.0,1.0,True,fail,0.0,1430809.2019946575,formal_eval
traverse_slope,seed01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,auto
traverse_slope,seed02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,auto
traverse_slope_v1,seed00,0.4286,,,,0.0,1.0,-1.0171,4000000.0,0.0667,0.2,26.8397,45.0,-20.513,4.4491,,,0.0,0.0,,,,,0.0667,,,,-0.0379,,,0.0861,,,,,0.0,,True,fail,0.0,,manual_curve
traverse_v1,seed00,0.0552,,,1.0,0.0,0.4595,67.3659,700000.0,0.5,0.0,124.6347,14.0,-460.1136,25.9768,,,0.0,0.0,,,,,0.5,,,,0.5405,,,0.4382,,,,,0.0,,False,,,,auto
traverse_v1,seed01,0.7347,,,0.0,0.0,0.522,66.8081,8000000.0,0.0125,0.0,139.7564,160.0,38.2966,70.1523,,,1.0,1.0,,,,,0.0125,,,,0.478,,,0.0597,,,,,0.0,,True,pass,1.0,,manual_curve
traverse_v1,seed02,0.4131,,,0.0,0.0,0.0482,133.0854,8000000.0,0.0,0.0,139.8208,160.0,243.7016,47.5508,,,0.0,0.0,,,,,0.0,,,,0.9518,,,0.0772,,,,,0.0,,True,pass,1.0,,manual_curve
