level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,3,0,3,0,1.0,0,N/A (no pass samples),0.0,23786.8,23786.8,23786.8,991.12,actual:3
R2,cpu,4,0,4,0,1.0,0,N/A (no pass samples),0.0,23801.8,23801.8,23801.8,991.74,actual:4
R2,drawdown,4,0,4,0,1.0,0,N/A (no pass samples),0.0,23801.8,23801.8,23801.8,991.74,actual:4
R2,early_low_reward,9,0,8,1,1.0,0,N/A (no pass samples),0.0,8920.0,7928.9,8920.0,330.37,no_snapshot:6;actual:3
R2,neg_ratio,3,0,3,0,1.0,0,N/A (no pass samples),0.0,23786.8,23786.8,23786.8,991.12,actual:3
R2,neg_ratio_current,3,0,3,0,1.0,0,N/A (no pass samples),0.0,23786.8,23786.8,23786.8,991.12,actual:3
R2,stagnation,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23666.8,23666.8,23666.8,986.12,actual:1
R2,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
R2,std_reward_collapse,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
R3,cpu,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
R3,drawdown,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
R3,kl_divergent,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
R3,neg_ratio,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
R3,neg_ratio_current,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
R3,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,23846.8,23846.8,23846.8,993.62,actual:1
