timesteps,section_time,eval_drawdown_offline,eval_drawdown_online,eval_drawdown_abs_diff,eval_drawdown_passed,eval_neg_ratio_recent_offline,eval_neg_ratio_recent_online,eval_neg_ratio_recent_abs_diff,eval_neg_ratio_recent_passed,eval_neg_ratio_offline,eval_neg_ratio_online,eval_neg_ratio_abs_diff,eval_neg_ratio_passed,stall_minutes_offline,stall_minutes_online,stall_minutes_abs_diff,stall_minutes_passed,approx_kl_last_offline,approx_kl_last_online,approx_kl_last_abs_diff,approx_kl_last_passed,eval_std_recent_offline,eval_std_recent_online,eval_std_recent_abs_diff,eval_std_recent_passed,eval_slope_per_1e6_offline,eval_slope_per_1e6_online,eval_slope_per_1e6_abs_diff,eval_slope_per_1e6_passed
50000.0,1786714044.369859,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0126,0.0126,0.0,True,0.021,,,N/A,0.0,,,N/A
100000.0,1786714074.9307222,0.078,0.078,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0119,0.0119,0.0,True,0.0105,,,N/A,-151.42,,,N/A
150000.0,1786714136.23181,0.006,0.006,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0173,0.0173,0.0,True,0.007,,,N/A,-5.828,,,N/A
200000.0,1786714197.850716,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0179,0.0179,0.0,True,0.008,,,N/A,27.5988,,,N/A
250000.0,1786714228.84286,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0195,0.0195,0.0,True,0.0066,,,N/A,29.7392,,,N/A
300000.0,1786714980.3938093,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0193,0.0193,0.0,True,0.0024,,,N/A,47.0438,,,N/A
350000.0,1786715170.0633593,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0175,0.0175,0.0,True,0.0024,,,N/A,13.971,,,N/A
400000.0,1786715295.1939254,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.019,0.019,0.0,True,0.0024,,,N/A,2.3618,,,N/A
450000.0,1786715387.729796,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0179,0.0179,0.0,True,0.0002,,,N/A,1.3964,,,N/A
500000.0,1786715514.0685265,0.0009,0.0009,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0155,0.0155,0.0,True,0.0001,,,N/A,0.481,,,N/A
550000.0,1786715610.1587396,0.0005,0.0005,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0253,0.0253,0.0,True,0.0001,,,N/A,0.0556,,,N/A
600000.0,1786715704.272588,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0171,0.0171,0.0,True,0.0001,,,N/A,0.168,,,N/A
650000.0,1786715832.130723,0.0006,0.0006,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0205,0.0205,0.0,True,0.0001,,,N/A,0.044,,,N/A
700000.0,1786715957.329555,0.0002,0.0002,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.035,0.035,0.0,True,0.0001,,,N/A,0.3372,,,N/A
750000.0,1786716083.4168704,0.0007,0.0007,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0234,0.0234,0.0,True,0.0001,,,N/A,-0.057,,,N/A
800000.0,1786716209.9352238,0.0008,0.0008,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.083,0.083,0.0,True,0.0001,,,N/A,-0.3492,,,N/A
850000.0,1786716336.810193,0.0011,0.0011,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0158,0.0158,0.0,True,0.0001,,,N/A,-0.3248,,,N/A
900000.0,1786716464.0698266,0.0012,0.0012,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.2738,0.2738,0.0,True,0.0,,,N/A,-0.4838,,,N/A
950000.0,1786932886.162942,0.0008,0.0,0.0008,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0139,0.0139,0.0,True,0.0,,,N/A,-0.1396,,,N/A
1000000.0,1786932949.1047204,0.0015,0.0006,0.0009000000000000001,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.2004,0.2004,0.0,True,0.0,,,N/A,-0.2124,,,N/A
1050000.0,1786933047.042682,0.0014,0.0005,0.0009,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0151,0.0151,0.0,True,0.0,,,N/A,-0.1526,,,N/A
1100000.0,1786933181.1444614,0.0005,0.0,0.0005,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.1699,0.1699,0.0,True,0.0,,,N/A,0.1742,,,N/A
1150000.0,1786933345.205991,0.0011,0.0005,0.0006000000000000001,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0352,0.0352,0.0,True,0.0,,,N/A,0.0898,,,N/A
1200000.0,1786933410.524735,0.0011,0.0005,0.0006000000000000001,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.094,0.094,0.0,True,0.0,,,N/A,0.2226,,,N/A
1250000.0,1786933442.7332218,0.0017,0.0012,0.0005,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.3052,0.3052,0.0,True,0.0,,,N/A,-0.238,,,N/A
1300000.0,1786933474.337974,0.0014,0.0009,0.0005,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.5099,0.5099,0.0,True,0.0,,,N/A,-0.4786,,,N/A
1350000.0,1786933568.4982333,0.0007,0.0001,0.0006,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,284.6,0.0,284.6,False,0.0156,0.0156,0.0,True,0.0,,,N/A,0.0784,,,N/A
1400000.0,1786961290.80484,0.0004,0.0,0.0004,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.3565,0.3565,0.0,True,0.0,,,N/A,0.475,,,N/A
1450000.0,1786961477.736856,0.0003,0.0,0.0003,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.0189,0.0189,0.0,True,0.0,,,N/A,0.7642,,,N/A
1500000.0,1786961604.0463774,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.031,0.031,0.0,True,0.0,,,N/A,0.6288,,,N/A
1550000.0,1786961791.6098075,0.0005,0.0004,9.999999999999999e-05,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.242,0.242,0.0,True,0.0,,,N/A,0.1554,,,N/A
1600000.0,1786961885.6197853,0.0002,0.0001,0.0001,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.0237,0.0237,0.0,True,0.0,,,N/A,0.0444,,,N/A
1650000.0,1786962074.1914215,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.0472,0.0472,0.0,True,0.0,,,N/A,0.127,,,N/A
1700000.0,1786962202.040044,0.0002,0.0002,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.0145,0.0145,0.0,True,0.0,,,N/A,0.088,,,N/A
1750000.0,1786962391.1191237,0.0,0.0,0.0,True,0.0,0.0,0.0,True,0.0,0.0,0.0,True,358.8,0.0,358.8,False,0.0286,0.0286,0.0,True,0.0,,,N/A,0.2602,,,N/A
