task,seed,approx_kl_last,cpu_percent_max,current_stall_minutes,early_low_reward,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,kl_divergent,kl_divergent_streak,max_dev_max,mem_percent_max,min_clear_min,nan_count,neg_ratio_current,progress_ratio,report_rows,restart_count,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source,data_quality,fail_reasons,training_collapsed,best_step,best_step_ratio,collapse_step,collapse_ratio,stop_justified,peak_reward,final_reward,eval_point_count
traverse_curve_junction,j2,0.0162,,,,0.0,0.0,-24.0975,1050000.0,1.0,1.0,-18.4937,10.0,-26.315,145.08,,,0.0,0.0,,,,,1.0,,,,,,,0.6001,,,,,0.0,,True,pass,1.0,,auto,good,,False,650000.0,0.619,,,False,-18.4937,-24.0975,10
traverse_curve_v1,seed00,0.5671,,,1.0,0.0,1.0,-0.1642,4000000.0,0.375,0.8,12.6381,80.0,5.7508,0.0,,,0.0,0.0,,,,,0.375,,,,-0.013,,,0.0919,,,,,0.0,,True,fail,0.0,,manual_curve,good,,True,50000.0,0.0125,100000.0,0.025,True,12.6381,-0.1642,80
traverse_curve_v2,seed00,0.5671,,,1.0,0.0,0.0067,133.547,4000000.0,0.1875,0.0,134.454,80.0,3.4894,0.2801,0.0,,0.0,0.0,0.0398,,,0.0,0.1875,,1.0,,0.9933,,,0.0919,1.0,,,,0.0,0.0,True,fail,0.0,,manual_cheating_exposed,good,,False,1950000.0,0.4875,,,True,134.454,133.547,80
traverse_curve_v3,seed00,0.3303,,,1.0,0.0,1.0,-4.0148,4000000.0,0.3875,1.0,9.3944,80.0,-7.6714,1.1169,1.0,,0.0,0.0,0.4024,,,0.0,0.3875,,1.0,,-0.4274,,,0.1069,0.0,,,,0.0,1.0,True,fail,0.0,,auto,good,,False,50000.0,0.0125,,,True,9.3944,-4.0148,80
traverse_flat_slope,seed00,0.243,100.0,9901.4,1.0,0.0,0.8067,7.334,4000000.0,0.0909,0.0,37.9506,66.0,-39.4656,2.8937,1.0,2251.8,0.0,0.0,0.5647,69.4,,0.0,0.0909,1.0,1.0,0.0,0.1933,4985.0,9901.4,0.1019,0.0,17.8,11216.4,4001376.0,0.0,1.0,True,fail,0.0,672984.7705287933,formal_eval,good,,False,2300000.0,0.575,,,True,37.9506,7.334,66
traverse_flat_slope_v1,seed00,0.3456,,,0.0,0.0,0.9197,3.3709,4000000.0,0.075,0.0,41.9885,80.0,-24.8416,3.5614,,,0.0,0.0,,,,,0.075,,,,0.0803,,,0.0975,,,,,0.0,,True,fail,0.0,,manual_curve,good,,True,2350000.0,0.5875,2500000.0,0.625,True,41.9885,3.3709,80
traverse_slope,seed00,0.4684,100.0,9759.8,1.0,0.0,0.6656,8.1236,8000000.0,0.5442,0.2,24.2945,147.0,33.751,3.4723,1.0,2251.8,0.0,0.0,0.4008,69.4,,0.0,0.5442,2.0,1.0,0.0,0.3344,4992.0,9759.8,0.0843,0.0,17.8,11216.4,7768848.0,0.0,1.0,True,fail,0.0,672984.7705287933,formal_eval,good,,False,5450000.0,0.6813,,,True,24.2945,8.1236,147
traverse_slope_v1,seed00,0.4286,,,,0.0,1.0,-1.0171,4000000.0,0.0667,0.2,26.8397,45.0,-20.513,4.4491,,,0.0,0.0,,,,,0.0667,,,,-0.0379,,,0.0861,,,,,0.0,,True,fail,0.0,,manual_curve,good,,False,1900000.0,0.475,,,True,26.8397,-1.0171,45
traverse_v1,seed00,0.0552,,,1.0,0.0,0.4595,67.3659,700000.0,0.5,0.0,124.6347,14.0,-460.1136,25.9768,,,0.0,0.0,,,,,0.5,,,,0.5405,,,0.4382,,,,,0.0,,False,,,,auto,good,,False,550000.0,0.7857,,,False,124.6347,67.3659,14
traverse_v1,seed01,0.7347,,,0.0,0.0,0.522,66.8081,8000000.0,0.0125,0.0,139.7564,160.0,38.2966,70.1523,,,1.0,1.0,,,,,0.0125,,,,0.478,,,0.0597,,,,,0.0,,True,pass,1.0,,manual_curve,good,,False,300000.0,0.0375,,,False,139.7564,66.8081,160
traverse_v1,seed02,0.4131,,,0.0,0.0,0.0482,133.0854,8000000.0,0.0,0.0,139.8208,160.0,243.7016,47.5508,,,0.0,0.0,,,,,0.0,,,,0.9518,,,0.0772,,,,,0.0,,True,pass,1.0,,manual_curve,good,,False,250000.0,0.0312,,,False,139.8208,133.0854,160
