task,seed,approx_kl_last,cpu_percent_max,current_stall_minutes,early_low_reward,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,kl_divergent,kl_divergent_streak,max_dev_max,mem_percent_max,min_clear_min,nan_count,neg_ratio_current,progress_ratio,report_rows,restart_count,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source,data_quality,fail_reasons,training_collapsed,best_step,best_step_ratio,collapse_step,collapse_ratio,stop_justified,peak_reward,final_reward,eval_point_count
balance,seed00,0.0212,100.0,2656.7,0.0,0.0,1.0,-18.8337,4000000.0,0.4625,1.0,99.9821,80.0,-5.2404,0.0219,0.0,113.8,1.0,40.0,0.0138,78.7,0.4339,0.0,0.6981,0.5,1.0,3.0,-0.1884,2739.0,2656.7,0.0151,0.0,22.4,8592.6,4001792.0,0.0,1.0,True,fail,0.0,515558.6967227459,manual,good,,True,1900000.0,0.475,2100000.0,0.525,True,99.9821,-18.8337,80
balance_v1,seed00,0.0048,,,0.0,168.0,0.9836,0.9969,1350000.0,0.0,0.0,60.9547,27.0,-0.0,0.0,,,0.0,0.0,,,,,0.0,,,,0.0164,,,0.0095,,,,,0.0,,False,fail,0.0,,manual_curve,good,,True,50000.0,0.037,100000.0,0.0741,True,60.9547,0.9969,27
balance_v1,seed01,0.032,,,0.0,0.0,1.0,-73.4874,3100000.0,0.3065,1.0,99.9851,62.0,30.7732,0.7252,,,1.0,22.0,,,,,0.3065,,,,-0.735,,,0.0084,,,,,0.0,,False,fail,0.0,,manual_curve,good,,True,1950000.0,0.629,2100000.0,0.6774,True,99.9851,-73.4874,62
balance_v1,seed02,0.2461,,,0.0,0.0,0.8314,16.8542,5300000.0,0.4151,0.0,99.9843,106.0,24.9612,0.4055,,,0.0,0.0,,,,,0.4151,,,,0.1686,,,0.1368,,,,,0.0,,False,fail,0.0,,manual_curve,good,,True,1950000.0,0.3679,2150000.0,0.4057,True,99.9843,16.8542,106
full_chain,seed00,0.0355,100.0,1827.6,,0.0,1.0,-9.4164,5900000.0,0.9875,1.0,146.9071,80.0,0.0578,0.0,0.0,113.8,0.0,0.0,0.4003,69.4,-0.0003,0.0,0.9875,,1.0,0.0,-0.0641,1979.0,1827.6,0.0333,0.0,0.0,2865.3,5905888.0,0.0,1.0,True,fail,0.0,171920.91291546822,manual,good,,True,1950000.0,0.3305,2000000.0,0.339,True,146.9071,-9.4164,80
full_chain_simple,seed00,0.0156,100.0,0.0,0.0,0.0,0.0,493.2775,800000.0,0.0625,0.0,493.2775,16.0,12.3608,0.5828,,0.0,0.0,0.0,,61.3,,,0.0625,0.2,,0.0,1.0,48.0,0.0,0.7935,,0.0,25.8,843776.0,0.0,,False,,,1549.4833319187164,auto,good,,False,1050000.0,0.913,,,False,498.287,494.5277,23
traverse,seed00,0.0595,100.0,17.9,0.0,0.0,0.4595,67.3659,700000.0,0.5,0.0,124.6347,14.0,-460.1136,25.9768,,13.7,0.0,0.0,,78.7,,,0.5,0.0875,,4.0,0.5405,1100.0,359.2,0.428,,22.4,5725.7,-6134720.0,0.0,,False,,,343541.1870126724,auto,good,,False,550000.0,0.7857,,,False,124.6347,67.3659,14
traverse,seed01,0.7347,100.0,441.5,0.0,0.0,0.522,66.8081,8000000.0,0.0125,0.0,139.7564,160.0,38.2966,70.1523,0.28,13.7,1.0,1.0,0.4004,78.7,,0.0,0.0125,1.0,5.0,0.0,0.478,735.0,441.5,0.0597,0.72,22.4,5576.5,8003584.0,0.0,1.0,True,fail,0.72,334592.6137354374,auto,good,,False,300000.0,0.0375,,,True,139.7564,66.8081,160
traverse_curve,seed00,0.5016,100.0,188.1,1.0,0.0,1.0,-6.0819,4000000.0,0.6494,1.0,7.4765,77.0,-2.5324,0.0,1.0,113.8,0.0,0.0,0.4073,69.4,,0.0,0.6494,1.0,1.0,2.0,-0.8135,1969.0,257.7,0.097,0.0,0.0,2864.8,3983856.0,0.0,1.0,True,fail,0.0,171887.7527897358,manual,good,,True,400000.0,0.1,600000.0,0.15,True,7.4765,-6.0819,77
traverse_curve_v1,seed00,0.5671,,,1.0,0.0,1.0,-0.1642,4000000.0,0.375,0.8,12.6381,80.0,5.7508,0.0,,,0.0,0.0,,,,,0.375,,,,-0.013,,,0.0919,,,,,0.0,,True,fail,0.0,,manual_curve,good,,True,50000.0,0.0125,100000.0,0.025,True,12.6381,-0.1642,80
traverse_curve_v2,seed00,0.5671,,,1.0,0.0,0.0067,133.547,4000000.0,0.1875,0.0,134.454,80.0,3.4894,0.2801,0.0,,0.0,0.0,0.0398,,,0.0,0.1875,,1.0,,0.9933,,,0.0919,1.0,,,,0.0,0.0,True,fail,0.0,,manual_cheating_exposed,good,,False,1950000.0,0.4875,,,True,134.454,133.547,80
