level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,3,0,1,2,1.0,0,N/A (no pass samples),0.0,3986.5,3211.7,3986.5,133.82,actual:1;step_rate:1;task_mean:1
R2,cpu,4,1,1,2,0.5,1,0.25,0.5,3986.5,8118.9,1746.6,338.29,actual:3;step_rate:1
R2,drawdown,7,1,2,4,0.6667,1,0.1429,0.2857,2542.7,5603.3,1554.1,233.47,actual:4;step_rate:2;task_mean:1
R2,stagnation,1,0,0,1,,0,N/A (no pass samples),0.0,,72.1,,3.0,step_rate:1
R2,stall,5,1,1,3,0.5,1,0.2,0.4,3986.5,6509.6,1795.9,271.23,actual:3;step_rate:2
R2,std,2,1,0,1,0.0,1,0.5,1.0,,528.1,,22.0,actual:2
