task,seed,approx_kl_last,cpu_percent_max,current_stall_minutes,early_low_reward,ev_neg_streak,eval_drawdown,eval_last_reward,eval_last_timesteps,eval_neg_ratio,eval_neg_ratio_recent,eval_peak_reward,eval_points,eval_slope_per_1e6,eval_std_recent,falls_mean,idle_minutes,kl_divergent,kl_divergent_streak,max_dev_max,mem_percent_max,min_clear_min,nan_count,neg_ratio_current,progress_ratio,report_rows,restart_count,reward_peak_ratio,snapshot_count,stall_minutes,std_last,success_rate_mean,swap_percent_max,time_span_minutes,timesteps_growth,value_loss_divergent,verdict_fail_ratio,completed,verdict,success_rate,duration_seconds,label_source
traverse_flat_slope,seed01,,99.6,319.2,,,,,,,,,,,,,15.5,,,,69.2,,,,,,0.0,,555.0,319.2,,,0.0,319.2,0.0,,,False,,,19153.72599887848,auto
traverse_flat_slope,seed02,,99.6,319.2,,,,,,,,,,,,,15.5,,,,69.2,,,,,,0.0,,555.0,319.2,,,0.0,319.2,0.0,,,False,,,19153.72599887848,auto
traverse_flat_slope_v1,seed00,0.3456,,,0.0,0.0,0.9197,3.3709,4000000.0,0.075,0.0,41.9885,80.0,-24.8416,3.5614,,,0.0,0.0,,,,,0.075,,,,0.0803,,,0.0975,,,,,0.0,,True,,,,auto
traverse_slope,seed00,0.4684,100.0,2485.0,1.0,0.0,0.6656,8.1236,8000000.0,0.5442,0.2,24.2945,147.0,33.751,3.4723,1.0,113.8,0.0,0.0,0.4008,69.4,,0.0,0.5442,2.0,1.0,0.0,0.3344,2572.0,2485.0,0.0843,0.0,0.0,5324.5,8006416.0,0.0,1.0,False,fail,0.0,89956.34326958656,manual
traverse_slope,seed01,,99.6,318.7,,,,,,,,,,,,,15.0,,,,69.2,,,,,,0.0,,554.0,318.7,,,0.0,318.7,0.0,,,False,,,19120.565873146057,auto
traverse_slope,seed02,,99.6,318.7,,,,,,,,,,,,,15.0,,,,69.2,,,,,,0.0,,554.0,318.7,,,0.0,318.7,0.0,,,False,,,19120.565873146057,auto
traverse_slope_v1,seed00,0.4286,,,,0.0,1.0,-1.0171,4000000.0,0.0667,0.2,26.8397,45.0,-20.513,4.4491,,,0.0,0.0,,,,,0.0667,,,,-0.0379,,,0.0861,,,,,0.0,,True,,,,auto
traverse_v1,seed00,0.0552,,,1.0,0.0,0.4595,67.3659,700000.0,0.5,0.0,124.6347,14.0,-460.1136,25.9768,,,0.0,0.0,,,,,0.5,,,,0.5405,,,0.4382,,,,,0.0,,False,,,,auto
traverse_v1,seed01,0.7347,,,0.0,0.0,0.522,66.8081,8000000.0,0.0125,0.0,139.7564,160.0,38.2966,70.1523,,,1.0,1.0,,,,,0.0125,,,,0.478,,,0.0597,,,,,0.0,,True,,,,auto
traverse_v1,seed02,0.4131,,,0.0,0.0,0.0482,133.0854,8000000.0,0.0,0.0,139.8208,160.0,243.7016,47.5508,,,0.0,0.0,,,,,0.0,,,,0.9518,,,0.0772,,,,,0.0,,True,,,,auto
