level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,2,0,1,1,1.0,0,N/A (no pass samples),0.0,3986.5,3065.3,3986.5,127.72,actual:1;step_rate:1
R2,cpu,3,0,2,1,1.0,0,N/A (no pass samples),0.0,2342.9,2276.7,2342.9,94.86,actual:2;step_rate:1
R2,drawdown,5,0,4,1,1.0,0,N/A (no pass samples),0.0,1684.0,1776.0,1684.0,74.0,actual:3;step_rate:2
R2,neg_ratio,4,0,3,1,1.0,0,N/A (no pass samples),0.0,916.5,1223.4,916.5,50.97,actual:2;step_rate:2
R2,neg_ratio_current,4,0,3,1,1.0,0,N/A (no pass samples),0.0,916.5,1223.4,916.5,50.97,actual:2;step_rate:2
R2,stall,4,0,3,1,1.0,0,N/A (no pass samples),0.0,2118.4,2124.8,2118.4,88.54,actual:3;step_rate:1
R2,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,699.4,699.4,699.4,29.14,actual:1
R2,std_reward_collapse,1,0,1,0,1.0,0,N/A (no pass samples),0.0,699.4,699.4,699.4,29.14,actual:1
R3,cpu,2,0,1,1,1.0,0,N/A (no pass samples),0.0,1606.7,518646.1,1606.7,21610.26,actual:1;step_rate:1
R3,drawdown,1,0,1,0,1.0,0,N/A (no pass samples),0.0,1606.7,1606.7,1606.7,66.95,actual:1
R3,kl_divergent,1,0,1,0,1.0,0,N/A (no pass samples),0.0,1606.7,1606.7,1606.7,66.95,actual:1
R3,neg_ratio,1,0,1,0,1.0,0,N/A (no pass samples),0.0,1606.7,1606.7,1606.7,66.95,actual:1
R3,restart,2,0,1,1,1.0,0,N/A (no pass samples),0.0,1606.7,518646.1,1606.7,21610.26,actual:1;step_rate:1
R3,stall,2,0,1,1,1.0,0,N/A (no pass samples),0.0,1606.7,518646.1,1606.7,21610.26,actual:1;step_rate:1
R3,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,1606.7,1606.7,1606.7,66.95,actual:1
