level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,3,0,3,0,1.0,0,N/A (no pass samples),0.0,11003.1,11003.1,11003.1,458.46,actual:3
R2,cpu,2,0,2,0,1.0,0,N/A (no pass samples),0.0,10896.4,10896.4,10896.4,454.02,actual:2
R2,drawdown,4,0,4,0,1.0,0,N/A (no pass samples),0.0,11056.4,11056.4,11056.4,460.68,actual:4
R2,early_low_reward,9,0,8,1,1.0,0,N/A (no pass samples),0.0,4126.1,3667.7,4126.1,152.82,no_snapshot:6;actual:3
R2,idle,2,0,2,0,1.0,0,N/A (no pass samples),0.0,10896.4,10896.4,10896.4,454.02,actual:2
R2,neg_ratio,4,0,4,0,1.0,0,N/A (no pass samples),0.0,11056.4,11056.4,11056.4,460.68,actual:4
R2,neg_ratio_current,4,0,4,0,1.0,0,N/A (no pass samples),0.0,11056.4,11056.4,11056.4,460.68,actual:4
R2,stagnation,2,0,2,0,1.0,0,N/A (no pass samples),0.0,11066.4,11066.4,11066.4,461.1,actual:2
R2,stall,2,0,2,0,1.0,0,N/A (no pass samples),0.0,10896.4,10896.4,10896.4,454.02,actual:2
R2,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,11216.4,11216.4,11216.4,467.35,actual:1
R2,std_reward_collapse,2,0,2,0,1.0,0,N/A (no pass samples),0.0,11216.4,11216.4,11216.4,467.35,actual:2
R3,drawdown,1,0,1,0,1.0,0,N/A (no pass samples),0.0,11216.4,11216.4,11216.4,467.35,actual:1
R3,kl_divergent,1,0,1,0,1.0,0,N/A (no pass samples),0.0,11216.4,11216.4,11216.4,467.35,actual:1
R3,neg_ratio,1,0,1,0,1.0,0,N/A (no pass samples),0.0,11216.4,11216.4,11216.4,467.35,actual:1
R3,neg_ratio_current,1,0,1,0,1.0,0,N/A (no pass samples),0.0,11216.4,11216.4,11216.4,467.35,actual:1
R3,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,11216.4,11216.4,11216.4,467.35,actual:1
